Player,23.569447,4.079094
Block,1,30,0
Block,1,29,0
Block,1,28,0
Block,1,27,0
Block,1,26,0
Block,1,25,0
Block,1,24,0
Block,1,23,0
Block,1,22,0
Block,1,21,0
Block,1,20,0
Block,1,19,0
Block,1,18,0
Block,1,17,0
Block,1,16,0
Block,1,15,0
Block,1,14,0
Block,1,13,0
Block,1,12,0
Block,1,11,0
Block,1,10,0
Block,1,9,0
Block,1,8,0
Block,1,7,0
Block,1,6,0
Block,1,5,0
Block,1,4,0
Block,1,3,0
Block,1,2,0
Block,1,1,0
Block,2,1,0
Block,3,1,0
Block,4,1,0
Block,5,1,0
Block,6,1,0
Block,7,1,0
Block,8,1,0
Block,9,1,0
Block,10,1,0
Block,11,1,0
Block,12,1,0
Block,13,1,0
Block,14,1,0
Block,15,1,0
Block,16,1,0
Block,17,1,0
Block,18,1,0
Block,19,1,0
Block,20,1,0
Block,21,1,0
Block,22,1,0
Block,23,1,0
Block,24,1,0
Block,25,1,0
Block,26,1,0
Block,27,1,0
Block,28,1,0
Block,29,1,0
Block,30,1,0
Block,2,30,0
Block,3,30,0
Block,4,30,0
Block,5,30,0
Block,6,30,0
Block,7,30,0
Block,8,30,0
Block,9,30,0
Block,10,30,0
Block,11,30,0
Block,12,30,0
Block,13,30,0
Block,14,30,0
Block,15,30,0
Block,16,30,0
Block,17,30,0
Block,18,30,0
Block,19,30,0
Block,20,30,0
Block,21,30,0
Block,22,30,0
Block,23,30,0
Block,24,30,0
Block,25,30,0
Block,26,30,0
Block,27,30,0
Block,28,30,0
Block,29,30,0
Block,30,30,0
Block,30,29,0
Block,30,28,0
Block,30,27,0
Block,30,26,0
Block,30,25,0
Block,30,24,0
Block,30,23,0
Block,30,22,0
Block,30,21,0
Block,30,20,0
Block,30,19,0
Block,30,18,0
Block,30,17,0
Block,30,16,0
Block,30,15,0
Block,30,14,0
Block,30,13,0
Block,30,12,0
Block,30,11,0
Block,30,10,0
Block,30,9,0
Block,30,8,0
Block,30,7,0
Block,30,6,0
Block,30,5,0
Block,30,4,0
Block,30,3,0
Block,30,2,0
Block,5,27,0
Block,6,27,0
Block,6,26,0
Block,5,26,0
Block,5,22,0
Block,5,21,0
Block,6,21,0
Block,6,20,0
Block,6,22,0
Block,5,20,0
Block,5,17,0
Block,6,17,0
Block,6,16,0
Block,5,16,0
Block,5,12,0
Block,6,12,0
Block,6,11,0
Block,6,10,0
Block,5,10,0
Block,5,11,0
Block,5,7,0
Block,6,7,0
Block,6,6,0
Block,5,6,0
Block,14,23,0
Block,15,23,0
Block,16,23,0
Block,17,23,0
Block,18,23,0
Block,19,23,0
Block,20,23,0
Block,21,23,0
Block,22,23,0
Block,22,22,0
Block,21,22,0
Block,20,22,0
Block,19,22,0
Block,18,22,0
Block,17,22,0
Block,16,22,0
Block,15,22,0
Block,14,22,0
Block,25,25,0
Block,25,24,0
Block,25,23,0
Block,25,22,0
Block,25,21,0
Block,25,20,0
Block,25,19,0
Block,25,18,0
Block,25,17,0
Block,25,16,0
Block,25,15,0
Block,25,14,0
Block,22,14,0
Block,21,14,0
Block,20,14,0
Block,20,13,0
Block,23,7,0
Block,20,12,0
Block,20,11,0
Block,20,10,0
Block,20,9,0
Block,20,8,0
Block,20,7,0
Block,21,7,0
Block,22,7,0
Block,24,7,0
Block,25,7,0
Block,26,7,0
Block,27,7,0
Block,28,7,0
Block,28,10,0
Block,28,9,0
Block,28,8,0
Block,10,27,0
Block,10,26,0
Block,10,25,0
Block,10,24,0
Block,10,23,0
Block,10,22,0
Block,10,21,0
Block,10,20,0
Block,10,19,0
Block,10,18,0
Block,10,17,0
Block,10,16,0
Block,10,15,0
Block,10,14,0
Block,10,13,0
Block,10,12,0
Block,10,11,0
Block,10,10,0
Floor,14.0,16.0,2
Floor,15.0,16.0,2
Floor,15.0,15.0,2
Floor,14.0,15.0,2
Floor,14.0,14.0,2
Floor,15.0,14.0,2
Floor,16.0,14.0,2
Floor,16.0,15.0,2
Floor,16.0,16.0,2
Floor,14.0,10.0,1
Floor,15.0,10.0,1
Floor,16.0,10.0,1
Floor,16.0,9.0,1
Floor,16.0,8.0,1
Floor,15.0,8.0,1
Floor,14.0,8.0,1
Floor,14.0,9.0,1
Floor,15.0,9.0,1
Floor,14.0,7.0,1
Floor,15.0,7.0,1
Floor,15.0,6.0,1
Floor,16.0,7.0,1
Floor,16.0,6.0,1
Floor,14.0,6.0,1
Floor,14.0,17.0,2
Floor,15.0,17.0,2
Floor,16.0,17.0,2
Floor,15.0,18.0,2
Floor,14.0,18.0,2
Floor,14.0,19.0,2
Floor,15.0,19.0,2
Floor,16.0,19.0,2
Floor,16.0,18.0,2
Floor,18.0,14.0,3
Floor,18.0,13.0,3
Floor,18.0,12.0,3
Floor,18.0,11.0,3
Floor,18.0,10.0,3
Floor,18.0,9.0,3
Floor,18.0,8.0,3
Floor,18.0,7.0,3
Floor,19.0,7.0,3
Floor,19.0,8.0,3
Floor,19.0,9.0,3
Floor,19.0,10.0,3
Floor,19.0,11.0,3
Floor,19.0,12.0,3
Floor,19.0,13.0,3
Floor,19.0,14.0,3
Floor,18.0,15.0,1
Floor,18.0,16.0,1
Floor,18.0,19.0,1
Floor,18.0,18.0,1
Floor,18.0,17.0,1
Floor,19.0,19.0,1
Floor,19.0,18.0,1
Floor,19.0,17.0,1
Floor,19.0,16.0,1
Floor,19.0,15.0,1
